building_size,num_floors,num_occupants,insulation_quality,window_type,hvac_efficiency,lighting_efficiency,appliance_efficiency,water_heating_efficiency,renewable_energy,energy_kwh,outdoor_temp,humidity,season,possibility_of_rain
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.097234,6.95,31.6,Spring,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.3299919999999994,16.6,52.83,Spring,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,3.0010103999999997,44.42,57.29,Spring,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.0919276,6.73,85.57,Spring,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.2916411999999995,15.01,76.61,Spring,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.058642,5.35,80.89,Spring,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.1937139999999995,10.95,71.85,Spring,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.425266,20.55,20.04,Spring,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.932992,41.6,51.4,Spring,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.08638,6.5,33.24,Spring,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.9158667999999994,40.89,50.47,Spring,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.4081407999999995,19.84,52.77,Spring,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.8946411999999992,40.01,38.8,Summer,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.3234795999999998,16.33,13.59,Summer,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.0897568,6.64,42.97,Summer,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.0764908,6.09,63.55,Summer,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.1353436,8.53,20.37,Summer,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.8758276,39.23,39.42,Summer,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.2851288,14.74,18.13,Summer,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.8201103999999995,36.92,19.25,Summer,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.2595616,13.68,25.56,Summer,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.1435444,8.87,80.07,Summer,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.612437199999999,28.31,29.17,Summer,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.2460544,13.12,88.56,Summer,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.6047188,27.99,41.31,Summer,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.7057815999999995,32.18,38.86,Summer,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.669842799999999,30.69,78.29,Summer,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.802502799999999,36.19,52.58,Summer,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.8242108,37.09,76.46,Summer,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.9604888,42.74,44.23,Summer,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.2542552,13.46,25.91,Summer,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.0526119999999994,5.1,35.8,Summer,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.2938119999999995,15.1,51.51,Summer,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.9585591999999994,42.66,45.48,Summer,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.4817067999999995,22.89,44.48,Summer,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.7161532,32.61,40.5,Summer,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.4042816,19.68,61.45,Summer,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.3075604,15.67,28.82,Summer,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.282958,14.65,82.21,Summer,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.9532528,42.44,64.31,Summer,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.474712,22.6,75.89,Summer,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.5516548,25.79,67.16,Summer,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.431296,20.8,31.69,Summer,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.8647323999999994,38.77,19.59,Summer,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.3292684,16.57,35.29,Summer,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.6512704,29.92,51.83,Summer,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.2388183999999995,12.82,53.42,Summer,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.1126708,7.59,71.31,Summer,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.5998948,27.79,12.52,Summer,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.3734079999999995,18.4,53.81,Summer,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.4525215999999994,21.68,70.49,Summer,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.600136,27.8,16.77,Summer,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.947222799999999,42.19,82.87,Summer,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.0940984,6.82,55.28,Summer,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.7776592,35.16,49.22,Summer,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.053818,5.15,88.59,Summer,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.760534,34.45,89.66,Summer,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.8922292,39.91,55.78,Summer,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.5960356,27.63,17.07,Summer,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.438532,21.1,23.78,Summer,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.4503508,21.59,54.69,Summer,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.8447127999999995,37.94,81.67,Summer,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.789477999999999,35.65,53.59,Summer,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.1688704,9.92,56.02,Summer,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.9590415999999995,42.68,14.45,Summer,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.3181731999999995,16.11,77.52,Summer,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.4913547999999994,23.29,42.54,Summer,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.3217911999999994,16.26,15.6,Summer,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.1669408,9.84,18.65,Summer,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.482189199999999,22.91,19.11,Summer,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.5224696,24.58,49.59,Summer,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.9083896,40.58,27.4,Summer,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.6534412,30.01,47.52,Summer,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.971584,43.2,51.47,Summer,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.3471172,17.31,33.33,Summer,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.433225599999999,20.88,44.5,Summer,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.1705588,9.99,55.11,Summer,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.794302,35.85,76.68,Summer,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.8483308,38.09,23.38,Summer,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.4662699999999997,22.25,34.61,Summer,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.765358,34.65,57.08,Summer,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.8314468,37.39,28.74,Summer,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.6746668,30.89,74.46,Summer,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.1790007999999994,10.34,20.24,Summer,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.2959827999999995,15.19,13.18,Summer,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.319138,16.15,56.23,Summer,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.9199671999999994,41.06,29.09,Summer,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.3471172,17.31,53.62,Summer,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.280546,14.55,87.81,Summer,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.8664208,38.84,37.25,Summer,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.6377631999999998,29.36,23.5,Summer,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.9426399999999995,42.0,67.56,Summer,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.343258,17.15,57.28,Summer,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.4599988,21.99,70.37,Summer,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.3058719999999995,15.6,64.03,Summer,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.6341452,29.21,84.14,Summer,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.8406124,37.77,86.67,Summer,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.6790084,31.07,18.47,Summer,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.1705588,9.99,88.61,Summer,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.5750512,26.76,80.51,Summer,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.867868,38.9,32.05,Summer,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.938780799999999,41.84,69.42,Summer,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.6992692,31.91,54.25,Summer,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.0697372,5.81,79.36,Autumn,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.6083368,28.14,31.39,Autumn,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.1613932,9.61,71.59,Autumn,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.7926135999999997,35.78,55.22,Autumn,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.5929,27.5,34.21,Autumn,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.0936159999999995,6.8,32.4,Autumn,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.8874052,39.71,56.19,Autumn,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.8637676,38.73,11.32,Autumn,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.0555064,5.22,49.13,Autumn,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.7040931999999995,32.11,56.67,Autumn,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.5463484,25.57,46.92,Autumn,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.2364063999999995,12.72,53.44,Autumn,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.7981612,36.01,86.56,Autumn,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.4624108,22.09,71.92,Autumn,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.2479839999999998,13.2,45.37,Autumn,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.2836815999999995,14.68,10.24,Autumn,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.8994651999999994,40.21,43.34,Autumn,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.28537,14.75,31.67,Autumn,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.250396,13.3,59.54,Autumn,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.3270976,16.48,40.22,Autumn,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.2412304,12.92,48.91,Autumn,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.8333764,37.47,74.65,Autumn,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.8459188,37.99,28.83,Autumn,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.6500643999999998,29.87,53.03,Autumn,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.58084,27.0,71.22,Autumn,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.8350648,37.54,55.49,Autumn,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.866662,38.85,65.64,Autumn,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.1847895999999998,10.58,66.07,Autumn,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.7788652,35.21,44.36,Autumn,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.5702271999999997,26.56,58.91,Autumn,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.20095,11.25,47.99,Autumn,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.9411928,41.94,21.18,Autumn,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.5379064,25.22,86.73,Autumn,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.4378083999999998,21.07,73.03,Autumn,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.8929527999999998,39.94,25.24,Autumn,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.1416148,8.79,36.44,Autumn,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,3.0026987999999992,44.49,58.0,Autumn,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.631492,29.1,85.4,Autumn,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.5581671999999998,26.06,75.23,Autumn,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.4882192,23.16,32.58,Autumn,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.5762572,26.81,89.06,Autumn,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.4537276,21.73,65.12,Autumn,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.5246404,24.67,32.94,Autumn,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.1903372,10.81,70.39,Autumn,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.1420972,8.81,81.78,Autumn,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.0883096,6.58,22.77,Autumn,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.0651544,5.62,58.78,Autumn,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.6030304,27.92,11.47,Autumn,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.3249268,16.39,72.38,Autumn,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.8365119999999995,37.6,40.04,Autumn,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.8746215999999998,39.18,14.13,Autumn,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.3919804,19.17,87.67,Autumn,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.1652523999999995,9.77,63.46,Autumn,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.2803048,14.54,16.87,Autumn,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,3.00294,44.5,79.44,Autumn,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.1886488,10.74,14.01,Autumn,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.9942568,44.14,45.46,Autumn,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.5383887999999994,25.24,17.15,Autumn,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.0830032,6.36,21.16,Autumn,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.5610615999999995,26.18,24.99,Autumn,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.692998,31.65,12.34,Autumn,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.4293664,20.72,83.57,Autumn,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.4727823999999994,22.52,34.4,Autumn,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.1049524,7.27,89.5,Autumn,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.4112764,19.97,89.53,Autumn,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.1459564,8.97,29.38,Autumn,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.4592752,21.96,11.3,Autumn,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.9957039999999995,44.2,64.5,Autumn,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.487495599999999,23.13,37.62,Autumn,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.099646,7.05,24.14,Autumn,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.7639108,34.59,18.74,Autumn,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.4281603999999994,20.67,89.64,Autumn,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.4243012,20.51,13.38,Autumn,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.2308588,12.49,44.08,Autumn,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.955906,42.55,84.73,Autumn,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.1922668,10.89,10.23,Autumn,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.4657876,22.23,47.3,Autumn,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.6367983999999995,29.32,14.92,Autumn,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.939022,41.85,11.76,Autumn,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.4452856,21.38,68.44,Autumn,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.3422931999999994,17.11,83.8,Autumn,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.8198692,36.91,38.14,Autumn,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.664054,30.45,18.33,Autumn,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.9621772,42.81,17.19,Autumn,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.6970984,31.82,82.37,Autumn,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.8109447999999992,36.54,25.29,Autumn,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.1035051999999994,7.21,24.79,Autumn,False
